Year,Month,Rainfall,Humidity,Temperature
2023,1,90.45,82.73,24.72
2023,2,95.07,81.46,25.43
2023,3,143.32,79.72,27.08
2023,4,219.6,79.51,27.87
2023,5,249.17,85.45,27.5
2023,6,159.98,86.75,27.24
2023,7,105.67,87.55,26.62
2023,8,80.31,84.95,26.95
2023,9,407.88,86.06,26.57
2023,10,557.37,86.95,26.27
2023,11,504.34,85.26,26.69
2023,12,348.44,87.21,26.59
2024,1,178.38,83.63,25.94
2024,2,27.6,82.13,26.69
2024,3,59.43,74.15,27.88
2024,4,164.53,79.65,28.83
2024,5,322.35,85.11,28.19
2024,6,156.42,87.36,27.23
2024,7,114.4,86.78,26.99
2024,8,167.57,86.39,26.73
2024,9,102.93,85.73,27.16
2024,10,217.65,86.77,26.69
2024,11,357.36,85.21,26.66
2024,12,123.37,84.17,26.46
2025,1,162.02,85.73,25.51
2025,2,49.14,79.42,26.1
2025,3,256.8,78.42,27.3
2025,4,301.9,85.09,27.37
2025,5,264.14,86.28,27.57
2025,6,130.24,88.09,26.9
2025,7,74.16,88.75,26.39
2025,8,81.71,87.83,26.13
2025,9,178.85,86.37,26.6
2025,10,520.77,86.55,26.47
2025,11,627.14,86.23,26.07
2025,12,143.21,85.16,25.5
