Year,Month,Rainfall,Humidity,Temperature
2023,1,2.92,82.73,24.72
2023,2,3.4,81.46,25.43
2023,3,4.62,79.72,27.08
2023,4,7.32,79.51,27.87
2023,5,8.04,85.45,27.5
2023,6,5.33,86.75,27.24
2023,7,3.41,87.55,26.62
2023,8,2.59,84.95,26.95
2023,9,13.6,86.06,26.57
2023,10,17.98,86.95,26.27
2023,11,16.81,85.26,26.69
2023,12,11.24,87.21,26.59
2024,1,5.75,83.63,25.94
2024,2,0.95,82.13,26.69
2024,3,1.92,74.15,27.88
2024,4,5.48,79.65,28.83
2024,5,10.4,85.11,28.19
2024,6,5.21,87.36,27.23
2024,7,3.69,86.78,26.99
2024,8,5.41,86.39,26.73
2024,9,3.43,85.73,27.16
2024,10,7.02,86.77,26.69
2024,11,11.91,85.21,26.66
2024,12,3.98,84.17,26.46
2025,1,5.23,85.73,25.51
2025,2,1.76,79.42,26.1
2025,3,8.28,78.42,27.3
2025,4,10.06,85.09,27.37
2025,5,8.52,86.28,27.57
2025,6,4.34,88.09,26.9
2025,7,2.39,88.75,26.39
2025,8,2.64,87.83,26.13
2025,9,5.96,86.37,26.6
2025,10,16.8,86.55,26.47
2025,11,20.9,86.23,26.07
2025,12,-999.0,-999.0,-999.0
