Location,Year,Month,Cumulative
Kelaniya,2023,1,4
Kelaniya,2023,2,11
Kelaniya,2023,3,3
Kelaniya,2023,4,13
Kelaniya,2023,5,3
Kelaniya,2023,6,5
Kelaniya,2023,7,10
Kelaniya,2023,8,7
Kelaniya,2023,9,18
Kelaniya,2023,10,16
Kelaniya,2023,11,8
Kelaniya,2023,12,5
Kelaniya,2024,1,5
Kelaniya,2024,2,4
Kelaniya,2024,3,3
Kelaniya,2024,4,3
Kelaniya,2024,5,10
Kelaniya,2024,6,9
Kelaniya,2024,7,12
Kelaniya,2024,8,10
Kelaniya,2024,9,6
Kelaniya,2024,10,3
Kelaniya,2024,11,14
Kelaniya,2024,12,9
Kelaniya,2025,1,7
Kelaniya,2025,2,2
Kelaniya,2025,3,5
Kelaniya,2025,4,7
Kelaniya,2025,5,11
Kelaniya,2025,6,26
Kelaniya,2025,7,5
Kelaniya,2025,8,5
Kelaniya,2025,9,2
Kelaniya,2025,10,3
Kelaniya,2025,11,16
Negombo,2023,1,5
Negombo,2023,2,2
Negombo,2023,3,9
Negombo,2023,4,5
Negombo,2023,5,18
Negombo,2023,6,10
Negombo,2023,7,6
Negombo,2023,8,3
Negombo,2023,9,5
Negombo,2023,10,7
Negombo,2023,11,8
Negombo,2023,12,10
Negombo,2024,1,6
Negombo,2024,2,0
Negombo,2024,3,4
Negombo,2024,4,3
Negombo,2024,5,6
Negombo,2024,6,0
Negombo,2024,7,7
Negombo,2024,8,9
Negombo,2024,9,5
Negombo,2024,10,5
Negombo,2024,11,2
Negombo,2024,12,3
Negombo,2025,1,1
Negombo,2025,2,5
Negombo,2025,3,2
Negombo,2025,4,4
Negombo,2025,5,6
Negombo,2025,6,5
Negombo,2025,7,4
Negombo,2025,8,6
Negombo,2025,9,2
Negombo,2025,10,3
Negombo,2025,11,4
